date,open,high,low,close,volume
2011-03-11,1.37975,1.39140,1.37520,1.39024,79182
2011-03-14,1.39633,1.40028,1.39044,1.39915,83638
2011-03-15,1.39915,1.40127,1.38553,1.39973,105380
2011-03-16,1.39973,1.40015,1.38665,1.38983,100009
2011-03-17,1.38971,1.40519,1.38692,1.40204,113114
2011-03-18,1.40211,1.41834,1.39799,1.41788,96113
2011-03-21,1.41933,1.42388,1.41396,1.42253,69154
2011-03-22,1.42251,1.42480,1.41789,1.41957,73015
2011-03-23,1.41957,1.42142,1.40845,1.40865,82302
2011-03-24,1.40869,1.42158,1.40533,1.41764,78244
2011-03-25,1.41764,1.41932,1.40554,1.40869,77390
2011-03-28,1.40353,1.41150,1.40207,1.40861,65243
2011-03-29,1.40861,1.41484,1.40472,1.41135,70900
2011-03-30,1.41135,1.41468,1.40518,1.41275,79744
2011-03-31,1.41269,1.42328,1.41169,1.41570,76821
2011-04-01,1.41569,1.42451,1.40618,1.42331,77548
2011-04-04,1.42276,1.42678,1.41922,1.42198,65906
2011-04-05,1.42196,1.42453,1.41514,1.42218,70116
2011-04-06,1.42199,1.43489,1.42087,1.43311,79179
2011-04-07,1.43305,1.43362,1.42441,1.43069,83720
2011-04-08,1.43069,1.44872,1.42910,1.44801,79377
2011-04-11,1.44702,1.44831,1.44207,1.44352,67783
2011-04-12,1.44346,1.45185,1.43770,1.44764,95883
2011-04-13,1.44764,1.45195,1.44132,1.44418,82189
2011-04-14,1.44415,1.45140,1.43649,1.44859,91939
2011-04-15,1.44854,1.45031,1.43906,1.44274,76943
2011-04-18,1.44086,1.44195,1.41606,1.42332,90651
2011-04-19,1.42321,1.43524,1.42050,1.43344,82004
2011-04-20,1.43329,1.45441,1.43278,1.45216,93025
2011-04-21,1.45209,1.46482,1.45048,1.45516,83520
2011-04-22,1.45498,1.45878,1.45334,1.45602,28413
2011-04-25,1.45588,1.46268,1.45250,1.45795,57757
2011-04-26,1.45793,1.46554,1.44930,1.46430,83777
2011-04-27,1.46424,1.47945,1.46324,1.47866,92502
2011-04-28,1.47857,1.48788,1.47679,1.48218,89426
2011-04-29,1.48214,1.48776,1.48033,1.48038,59546
2011-05-02,1.48130,1.49015,1.47628,1.48292,75459
2011-05-03,1.48289,1.48888,1.47540,1.48248,91028
2011-05-04,1.48244,1.49398,1.47748,1.48260,100581
2011-05-05,1.48255,1.48978,1.45099,1.45379,109421
2011-05-06,1.45378,1.45873,1.43109,1.43146,128287
2011-05-09,1.43555,1.44408,1.42557,1.43648,108619
2011-05-10,1.43648,1.44120,1.42703,1.44087,110050
2011-05-11,1.44085,1.44227,1.41723,1.41914,107661
2011-05-12,1.41909,1.42755,1.41230,1.42441,116358
2011-05-13,1.42441,1.43383,1.40666,1.41163,111580
2011-05-16,1.40840,1.42442,1.40480,1.41552,109547
2011-05-17,1.41552,1.42381,1.41230,1.42360,115056
2011-05-18,1.42359,1.42862,1.41947,1.42488,103230
2011-05-19,1.42484,1.43244,1.42062,1.43088,106230
2011-05-20,1.43089,1.43452,1.41330,1.41561,101355
2011-05-23,1.41197,1.41443,1.39694,1.40470,111572
2011-05-24,1.40465,1.41324,1.40020,1.40990,105368
