date,open,high,low,close,volume
2018-07-25,1.16877,1.17137,1.16675,1.16855,0
2018-07-26,1.17398,1.17432,1.16509,1.17375,0
2018-07-27,1.16446,1.16632,1.16237,1.16429,0
2018-07-30,1.16632,1.17192,1.16494,1.16604,0
2018-07-31,1.17086,1.17481,1.16928,1.17074,0
2018-08-01,1.16896,1.16986,1.16653,1.16896,0
2018-08-02,1.16638,1.167,1.16042,1.16659,0
2018-08-03,1.15856,1.1612,1.15622,1.1586,0
2018-08-06,1.15614,1.15701,1.1531,1.15623,0
2018-08-07,1.15575,1.1609,1.1552,1.1558,0
2018-08-08,1.16034,1.16293,1.15746,1.16029,0
2018-08-09,1.16101,1.16212,1.15618,1.16108,0
2018-08-10,1.15287,1.15393,1.13961,1.15239,0
2018-08-13,1.13959,1.14338,1.1366,1.13947,0
2018-08-14,1.13985,1.1431,1.13475,1.14025,0
2018-08-15,1.13482,1.13494,1.13022,1.13457,0
2018-08-16,1.13443,1.14084,1.13384,1.13443,0
2018-08-17,1.13723,1.1422,1.13674,1.13714,0
2018-08-20,1.14379,1.14494,1.13952,1.14377,0
2018-08-21,1.14891,1.15391,1.14866,1.14913,0
2018-08-22,1.15764,1.16252,1.15544,1.15768,0
2018-08-23,1.15863,1.15896,1.15452,1.15848,0
2018-08-24,1.15428,1.1637,1.15393,1.15433,0
2018-08-27,1.16444,1.16809,1.15972,1.16489,0
2018-08-28,1.16835,1.1733,1.16634,1.16836,0
2018-08-29,1.1693,1.17063,1.1654,1.16913,0
2018-08-30,1.17093,1.17176,1.16442,1.17097,0
2018-08-31,1.16659,1.16893,1.15965,1.16647,0
2018-09-03,1.15985,1.16279,1.1591,1.16011,0
2018-09-04,1.16131,1.16158,1.15332,1.16155,0
2018-09-05,1.1588,1.16326,1.15468,1.15865,0
2018-09-06,1.16349,1.16562,1.16077,1.16352,0
2018-09-07,1.16239,1.16509,1.15639,1.16201,0
2018-09-10,1.1559,1.16144,1.15276,1.15611,0
2018-09-11,1.15934,1.16428,1.15668,1.1596,0
2018-09-12,1.1596,1.16482,1.15709,1.15961,0
2018-09-13,1.16266,1.17008,1.16097,1.16293,0
2018-09-14,1.16904,1.17213,1.16557,1.16918,0
2018-09-17,1.16236,1.16959,1.16236,1.1629,0
2018-09-18,1.16692,1.17204,1.16692,1.16692,0
2018-09-19,1.16788,1.17165,1.16534,1.16799,0
2018-09-20,1.16741,1.1777,1.16728,1.16746,0
2018-09-21,1.17761,1.18016,1.17357,1.17759,0
2018-09-24,1.1751,1.1815,1.17253,1.1751,0
2018-09-25,1.17532,1.17925,1.17325,1.1753,0
2018-09-26,1.17661,1.1777,1.1729,1.17632,0
2018-09-27,1.17472,1.17592,1.16645,1.17485,0
2018-09-28,1.16368,1.1653,1.15706,1.16374,0
2018-10-01,1.1605,1.16213,1.15651,1.16054,0
2018-10-02,1.15776,1.15821,1.15067,1.15776,0
2018-10-03,1.15504,1.15933,1.15164,1.15517,0
2018-10-04,1.14774,1.1536,1.14646,1.14763,0
2018-10-05,1.15176,1.15425,1.14878,1.15181,0
2018-10-08,1.15239,1.15314,1.14609,1.15226,0
2018-10-09,1.14946,1.15048,1.14333,1.14941,0
2018-10-10,1.1504,1.1542,1.14807,1.15069,0
2018-10-11,1.15322,1.15976,1.15322,1.15334,0
2018-10-12,1.15904,1.16095,1.1537,1.15904,0
2018-10-15,1.15509,1.16056,1.15436,1.15513,0
2018-10-16,1.15833,1.16201,1.15671,1.15835,0
2018-10-17,1.15764,1.15821,1.15218,1.15753,0
2018-10-18,1.15009,1.15274,1.14829,1.15009,0
2018-10-19,1.14551,1.15145,1.14337,1.146,0
2018-10-22,1.15112,1.1552,1.14624,1.15095,0
2018-10-23,1.14647,1.14898,1.14399,1.14679,0
2018-10-24,1.14726,1.14758,1.13841,1.14732,0
2018-10-25,1.13987,1.14308,1.13662,1.13993,0
2018-10-26,1.13751,1.13985,1.13362,1.13779,0
2018-10-29,1.13987,1.14158,1.13644,1.13987,0
2018-10-30,1.13751,1.13871,1.13474,1.13762,0
2018-10-31,1.13458,1.13602,1.13117,1.13464,0
2018-11-01,1.13139,1.14132,1.13138,1.13167,0
2018-11-02,1.14028,1.14554,1.13757,1.14033,0
2018-11-05,1.13971,1.14064,1.13552,1.13976,0
2018-11-06,1.14086,1.14381,1.13933,1.14129,0
2018-11-07,1.1441,1.14999,1.14006,1.14385,0
2018-11-08,1.14333,1.14443,1.14051,1.14341,0
2018-11-09,1.13685,1.13692,1.1325,1.13684,0
2018-11-12,1.13248,1.13327,1.12416,1.1325,0
2018-11-13,1.12241,1.12919,1.12232,1.12334,0
2018-11-14,1.13161,1.13397,1.12648,1.13112,0
2018-11-15,1.13136,1.13511,1.1275,1.13118,0
2018-11-16,1.13253,1.14142,1.13226,1.13249,0
2018-11-19,1.14121,1.14629,1.13945,1.1414,0
2018-11-20,1.14548,1.14728,1.13871,1.1455,0
2018-11-21,1.13727,1.1422,1.13663,1.13724,0
